route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
174-2143,174,"Garden City - City/Valley via Newnham Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/174,8DC63F,000000
175-2063,175,"Garden City - City via Logan Rd",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/175,8DC63F,000000
175-2143,175,"Garden City - City via Logan Rd",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/175,8DC63F,000000
177-2063,177,"Carindale - Griffith Uni Mt Gravatt",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/177,8DC63F,000000
177-2143,177,"Carindale - Griffith Uni Mt Gravatt",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/177,8DC63F,000000
178-2063,178,"Carindale Heights - City/Valley via Mt Gravatt",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/178,8DC63F,000000
178-2143,178,"Carindale Heights - City/Valley via Mt Gravatt",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/178,8DC63F,000000
180-2063,180,"Garden City - City Express via Mansfield",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/180,8DC63F,000000
180-2143,180,"Garden City - City Express via Mansfield",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/180,8DC63F,000000
181-2063,181,"Wishart - City/Valley Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/181,8DC63F,000000
181-2143,181,"Wishart - City/Valley Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/181,8DC63F,000000
184-2063,184,"Garden City - City/Valley via Mt Gravatt Central",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/184,8DC63F,000000
184-2143,184,"Garden City - City/Valley via Mt Gravatt Central",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/184,8DC63F,000000
185-2063,185,"Garden City - City/Valley via Mansfield",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/185,8DC63F,000000
185-2143,185,"Garden City - City/Valley via Mansfield",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/185,8DC63F,000000
186-2063,186,"Wishart - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/186,8DC63F,000000
186-2143,186,"Wishart - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/186,8DC63F,000000
192-2063,192,"UQ Lakes - City via Highgate Hill",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/192,8DC63F,000000
192-2143,192,"UQ Lakes - City via Highgate Hill",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/192,8DC63F,000000
195-2063,195,"New Farm - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/195,8DC63F,000000
195-2143,195,"New Farm - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/195,8DC63F,000000
196-2063,196,"Fairfield Gardens - Merthyr via City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/196,8DC63F,000000
196-2143,196,"Fairfield Gardens - Merthyr via City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/196,8DC63F,000000
198-2063,198,"Highgate Hill Hail 'n' Ride",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/198,8DC63F,000000
198-2143,198,"Highgate Hill Hail 'n' Ride",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/198,8DC63F,000000
199-2063,199,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/199,8DC63F,000000
199-2143,199,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/199,8DC63F,000000
